"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-01","0.00","6","3","-1"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-02","0.00","-1","0","-6"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-03","0.00","-6","-6","-11"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-04","0.00","-9","7","-11"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-05","0.00","11","25","7"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-06","0.00","17","23","-2"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-07","0.00","0","2","-6"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-08","0.00","-1","7","-3"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-09","0.02","7","17","-2"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-10","0.01","1","16","-2"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-11","0.00","14","36","6"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-12","0.01","31","37","23"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-13","0.00","31","37","31"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-14","0.06","30","31","22"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-15","0.01","25","27","19"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-16","0.00","23","24","7"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-17","0.00","12","26","0"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-18","0.00","23","31","21"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-19","0.00","26","27","20"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-20","0.02","20","40","12"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-21","0.35","37","42","34"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-22","0.09","36","39","22"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-23","0.15","28","44","22"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-24","0.14","38","42","22"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-25","0.00","24","25","11"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-26","0.00","13","20","7"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-27","0.00","12","11","4"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-28","0.03","4","4","1"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-29","0.00","3","6","-13"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-30","0.00","-5","5","-14"
"USW00025503","KING SALMON AIRPORT, AK US","2022-01-31","0.07","2","36","-6"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-01","0.14","33","38","33"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-02","0.00","34","38","30"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-03","0.14","36","38","32"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-04","0.28","32","34","29"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-05","0.04","31","36","22"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-06","0.02","22","22","11"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-07","0.07","9","11","1"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-08","0.04","2","7","-15"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-09","0.00","-10","20","-22"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-10","0.00","17","34","15"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-11","0.22","34","39","31"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-12","0.02","33","36","32"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-13","0.00","31","32","26"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-14","0.61","30","39","27"
"USW00025503","KING SALMON AIRPORT, AK US","2022-02-15","0.33","37","44","33"
